   IMNNabdemoosyy|My Name Is Nobody
   eeeehhiirrrstv|the river is here
   egiiklnoorsuvy|your love is king
  BDIotu|But I Do
  ghhnoooooppsss|shoop shoop song
 MSaaghilnnooott|Moonlight Sonata
0129|1209
Iaafinnottu|Infatuation
Wadellsstu|Waldeslust
aaaceehiilmmmstt|semimathematical
aaaceeprt|trapaceae
aabcdeillttw|wildcattable
aablovwy|avowably
aaehhjlllu|hallelujah
aaghlmnoopsty|phantasmology
acceiinorttu|cutireaction
acddeeijntuv|unadjectived
acdhlnorstuy|cordylanthus
acefiloosu|foliaceous
aceinttx|excitant
acekmrs|smacker
adegrty|agedytr
adegrty|tragedy
adegrty|tredyag
adenrrw|redrawn
adlnooprsuy|polyandrous
aiilnrtty|trinality
ceginort|negrotic
ddeeiimnort|determinoid
deehiinnprstu|indentureship
